Parameter Sets,Stats,Mean Ratio,Normal Mean,Stress Mean,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.818532165709218, 'sigma_b': 0.181467834290782, 'rho': 15.300781057249742, 'd': 0.2524181455833211, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 10.972028301886793, 'Stressed Variance': 120.42841569731219, 'Stressed Steady State Time': 39.616803209177704, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.11,100,11.0,1.0,1.0,1.0,0.5125,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.818532165709218, 'sigma_b': 0.181467834290782, 'rho': 15.300781057249742, 'd': 0.2524181455833211, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 10.972028301886793, 'Stressed Variance': 120.42841569731219, 'Stressed Steady State Time': 39.616803209177704, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.11,100,11.0,1.0,1.0,1.0,0.5125,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.818532165709218, 'sigma_b': 0.181467834290782, 'rho': 15.300781057249742, 'd': 0.2524181455833211, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 10.972028301886793, 'Stressed Variance': 120.42841569731219, 'Stressed Steady State Time': 39.616803209177704, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.11,100,11.0,1.0,1.0,1.0,0.5125,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.818532165709218, 'sigma_b': 0.181467834290782, 'rho': 15.300781057249742, 'd': 0.2524181455833211, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 10.972028301886793, 'Stressed Variance': 120.42841569731219, 'Stressed Steady State Time': 39.616803209177704, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.11,100,11.0,1.0,1.0,1.0,0.5125,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.818532165709218, 'sigma_b': 0.181467834290782, 'rho': 15.300781057249742, 'd': 0.2524181455833211, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 10.972028301886793, 'Stressed Variance': 120.42841569731219, 'Stressed Steady State Time': 39.616803209177704, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.11,100,11.0,1.0,1.0,1.0,0.5125,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.8195255651985627, 'sigma_b': 0.18047443480143743, 'rho': 16.81724042427386, 'd': 0.2529234967075592, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 12.063443396226415, 'Stressed Variance': 142.19196550151298, 'Stressed Steady State Time': 39.53764727348531, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.12,100,12.0,1.0,1.0,1.0,0.525,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.8195255651985627, 'sigma_b': 0.18047443480143743, 'rho': 16.81724042427386, 'd': 0.2529234967075592, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 12.063443396226415, 'Stressed Variance': 142.19196550151298, 'Stressed Steady State Time': 39.53764727348531, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.12,100,12.0,1.0,1.0,1.0,0.525,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.8195255651985627, 'sigma_b': 0.18047443480143743, 'rho': 16.81724042427386, 'd': 0.2529234967075592, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 12.063443396226415, 'Stressed Variance': 142.19196550151298, 'Stressed Steady State Time': 39.53764727348531, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.12,100,12.0,1.0,1.0,1.0,0.525,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.8195255651985627, 'sigma_b': 0.18047443480143743, 'rho': 16.81724042427386, 'd': 0.2529234967075592, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 12.063443396226415, 'Stressed Variance': 142.19196550151298, 'Stressed Steady State Time': 39.53764727348531, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.12,100,12.0,1.0,1.0,1.0,0.525,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.8195255651985627, 'sigma_b': 0.18047443480143743, 'rho': 16.81724042427386, 'd': 0.2529234967075592, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 12.063443396226415, 'Stressed Variance': 142.19196550151298, 'Stressed Steady State Time': 39.53764727348531, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.12,100,12.0,1.0,1.0,1.0,0.525,1.0,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.8195255651985627, 'sigma_b': 0.18047443480143743, 'rho': 16.81724042427386, 'd': 0.2529234967075592, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 12.063443396226415, 'Stressed Variance': 142.19196550151298, 'Stressed Steady State Time': 39.53764727348531, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.12,100,12.0,1.0,1.0,1.0,0.525,1.0,0.45,1.0,1.0,1.0,1.0,1.0
