Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Conv1D 4-Head Attention Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.02215574122838347, 'rho': 5975.7576175588665, 'd': 0.7346365351446036, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.985340909090908, 'Stressed Variance': 3127.7999745049924, 'Stressed Steady State Time': 13.612173532904446}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",2.659999999999999,0.75,0.45,0.725,0.4375,0.575,0.45,0.9125,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.02215574122838347, 'rho': 5975.7576175588665, 'd': 0.7346365351446036, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.985340909090908, 'Stressed Variance': 3127.7999745049924, 'Stressed Steady State Time': 13.612173532904446}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",2.659999999999999,0.75,0.45,0.725,0.4375,0.575,0.45,0.9125,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.02215574122838347, 'rho': 5975.7576175588665, 'd': 0.7346365351446036, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.985340909090908, 'Stressed Variance': 3127.7999745049924, 'Stressed Steady State Time': 13.612173532904446}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",2.659999999999999,0.75,0.45,0.725,0.4375,0.575,0.45,0.9125,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.02215574122838347, 'rho': 5975.7576175588665, 'd': 0.7346365351446036, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.985340909090908, 'Stressed Variance': 3127.7999745049924, 'Stressed Steady State Time': 13.612173532904446}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",2.659999999999999,0.75,0.45,0.725,0.4375,0.575,0.45,0.9125,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.02215574122838347, 'rho': 5975.7576175588665, 'd': 0.7346365351446036, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.985340909090908, 'Stressed Variance': 3127.7999745049924, 'Stressed Steady State Time': 13.612173532904446}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",2.659999999999999,0.75,0.45,0.725,0.4375,0.575,0.45,0.9125,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.083106060606061, 'Stressed Variance': 3150.4253661099633, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.620037593984962, 'Normal Variance': 1100.7125082692635, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7125,0.5125,0.6875,0.5,0.5375,0.45,0.8625,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02207261957500077, 'rho': 5998.23950488924, 'd': 0.7346372501426729, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.321704545454546, 'Stressed Variance': 3428.3479834581613, 'Stressed Steady State Time': 13.612160284627432}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6699999999999986,0.7375,0.6,0.7125,0.6125,0.65,0.45,0.8625,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.173522727272728, 'Stressed Variance': 2802.3256095600896, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.620037593984962, 'Normal Variance': 1100.7125082692635, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.675,0.55,0.7,0.55,0.5625,0.45,0.9375,0.6
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02199011929202661, 'rho': 6020.721341758363, 'd': 0.7346379598087545, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 9.271969696969697, 'Stressed Variance': 2785.7363355142334, 'Stressed Steady State Time': 13.612147135172899}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.679999999999999,0.8,0.525,0.7625,0.475,0.6125,0.45,0.8875,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.013787878787879, 'Stressed Variance': 3197.2645068640963, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.620037593984962, 'Normal Variance': 1100.7125082692635, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7,0.4375,0.6375,0.5125,0.55,0.45,0.925,0.775
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.02190823343247106, 'rho': 6043.2031783022085, 'd': 0.7346386642035208, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.4525, 'Stressed Variance': 3182.7042589015155, 'Stressed Steady State Time': 13.612134083416073}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.6899999999999986,0.7875,0.575,0.6625,0.5625,0.55,0.45,0.8375,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.614772727272728, 'Stressed Variance': 3351.44190297865, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.620037593984962, 'Normal Variance': 1100.7125082692635, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.7125,0.525,0.65,0.525,0.525,0.45,0.925,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021826955157876898, 'rho': 6065.685014523766, 'd': 0.7346393633854864, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.615946969696969, 'Stressed Variance': 3278.8144350880966, 'Stressed Steady State Time': 13.612121128272175}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871264147})",2.699999999999999,0.6875,0.5125,0.775,0.525,0.5625,0.45,0.9125,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.021746277730896425, 'rho': 6088.166850431201, 'd': 0.7346400574123043, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999825035, 'rho': 1179.133813800028, 'd': 0.7827636158614006, 'label': 1}]","({'Stressed Mean': 10.370530303030304, 'Stressed Variance': 3217.3568739612033, 'Stressed Steady State Time': 13.612108268672408}, {'Normal Mean': 9.620037593984962, 'Normal Variance': 1100.7125082692635, 'Normal Steady State Time': 12.775248871264147})",2.7099999999999986,0.65,0.5,0.6875,0.4125,0.5,0.45,0.8375,0.7
