Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 40.9322471023849, 'rho': 46.55888775045777, 'd': 0.6954441048650946, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838188636}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 40.9322471023849, 'rho': 46.55888775045777, 'd': 0.6954441048650946, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838188636}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 40.9322471023849, 'rho': 46.55888775045777, 'd': 0.6954441048650946, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838188636}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 40.9322471023849, 'rho': 46.55888775045777, 'd': 0.6954441048650946, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838188636}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 40.9322471023849, 'rho': 46.55888775045777, 'd': 0.6954441048650946, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838188636}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 36.62446502204543, 'rho': 48.27184684177618, 'd': 0.6960253461791768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.50129770992366, 'Stressed Variance': 60.80106701823903, 'Stressed Steady State Time': 14.367292879339647}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.52,0.32,0.16640000000000002,1.0,0.6375,1.0,0.6125,0.8,0.45,0.5,1.0,0.5125,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 36.62446502204543, 'rho': 48.27184684177618, 'd': 0.6960253461791768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292879339647}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.52,0.32,0.16640000000000002,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975
"[{'sigma_u': 18.0, 'sigma_b': 36.62446502204543, 'rho': 48.27184684177618, 'd': 0.6960253461791768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292879339647}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.52,0.32,0.16640000000000002,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975
"[{'sigma_u': 18.0, 'sigma_b': 36.62446502204543, 'rho': 48.27184684177618, 'd': 0.6960253461791768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292879339647}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.52,0.32,0.16640000000000002,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975
"[{'sigma_u': 18.0, 'sigma_b': 36.62446502204543, 'rho': 48.27184684177618, 'd': 0.6960253461791768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292879339647}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.52,0.32,0.16640000000000002,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975
