Parameter Sets,Stats,T_ac Ratio,Normal T_ac,Stress T_ac,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.44439252336448, 'Stressed Variance': 9829.91279565901, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.9,0.675,0.95,0.5875,0.925,0.45,0.5,1.0,1.0,0.9125,1.0
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.05621495327102, 'Stressed Variance': 9773.961279131367, 'Stressed Steady State Time': 38.7784957354107, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.1,50,5.0,0.875,0.6,0.9625,0.575,0.925,0.45,0.7875,0.9875,1.0,0.8875,0.9875
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
"[{'sigma_u': 0.8421593393063306, 'sigma_b': 0.15784066069366937, 'rho': 144.33652239286596, 'd': 0.22782172056716565, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.56656862745098, 'Stressed Variance': 9578.88243136294, 'Stressed Steady State Time': 43.893971018675686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.11,50,5.5,0.85,0.6875,0.975,0.6,0.9125,0.45,0.6,1.0,1.0,0.875,1.0
